HUB cofor,Zip Key,Zip2,Country
13736E  76,FR56,56,FR
13736E  79,FR43,43,FR
13736E  76,FR79,79,FR
13736E  79,FR32,32,FR
13736E  79,FR30,30,FR
84648H  07,LTALL,ALL,LT
13736E  22,GBALL,ALL,GB
13736E  79,FR39,39,FR
13736E  76,FR53,53,FR
13736E  02,FR86,86,FR
13736E  15,FR21,21,FR
13736E  79,FR38,38,FR
13736E  79,FR12,12,FR
13736E  79,FR03,03,FR
13736E  79,FR13,13,FR
13736E  79,FR33,33,FR
13736E  79,FR01,01,FR
A00BVS  04,CHALL,ALL,CH
13736E  02,FR92,92,FR
13736E  15,FR57,57,FR
13736E  02,FR93,93,FR
13736E  22,FR51,51,FR
13736E  22,FR08,08,FR
13736E  79,FR34,34,FR
13736E  15,FR52,52,FR
13736E  79,FR06,06,FR
13736E  79,FR69,69,FR
99109B  01,HUALL,ALL,HU
13736E  15,FR25,25,FR
13736E  79,FR65,65,FR
13736E  02,FR78,78,FR
A00BVV  01,BEALL,ALL,BE
13736E  02,FR36,36,FR
13736E  79,FR24,24,FR
13736E  02,FR10,10,FR
13736E  79,FR64,64,FR
13736E  02,FR76,76,FR
13736E  02,FR16,16,FR
13736E  02,FR86,86,FR
xxxxx,SIALL,ALL,SI
13736E  02,FR14,14,FR
13736E  76,FR29,29,FR
13736E  22,FR80,80,FR
13736E  22,FR62,62,FR
13736E  15,FR70,70,FR
13736E  79,FR48,48,FR
13736E  02,FR95,95,FR
13736E  02,FR91,91,FR
13736E  79,FR83,83,FR
13736E  79,FR17,17,FR
13736E  22,FR60,60,FR
13736E  79,FR73,73,FR
84648H  07,PLALL,ALL,PL
13736E  79,FR20,20,FR
13736E  79,FR15,15,FR
13736E  76,FR50,50,FR
A00GVP  02,TRALL,ALL,TR
13736E  79,FR47,47,FR
A00BVS  04,DEALL,ALL,DE
A00BVV  01,NLALL,ALL,NL
xxxxx,BGALL,ALL,BG
A00J54  02,ESALL,ALL,ES
13736E  79,FR42,42,FR
13736E  76,FR44,44,FR
22342J  03,SKALL,ALL,SK
13736E  02,FR45,45,FR
13736E  15,FR55,55,FR
13736E  15,FR54,54,FR
13736E  15,FR67,67,FR
99109B  01,RSALL,ALL,RS
13736E  02,FR86,86,FR
99109B  01,MKALL,ALL,MK
13736E  79,FR11,11,FR
13736E  79,FR26,26,FR
13736E  02,FR23,23,FR
13736E  02,FR58,58,FR
13736E  79,FR07,07,FR
13736E  02,FR41,41,FR
13736E  76,FR85,85,FR
A00MHA  01,MAALL,ALL,MA
13736E  15,FR90,90,FR
13736E  76,FR22,22,FR
13736E  79,FR63,63,FR
13736E  22,FR59,59,FR
13736E  79,FR05,05,FR
A00BVS  04,ATALL,ALL,AT
13736E  02,FR27,27,FR
13736E  02,FR87,87,FR
13736E  02,FR77,77,FR
13736E  15,FR88,88,FR
13736E  02,FR28,28,FR
xxxxx,ROALL,ALL,RO
13736E  79,FR82,82,FR
13736E  02,FR37,37,FR
13736E  02,FR75,75,FR
13736E  02,FR18,18,FR
A00J54  02,PTALL,ALL,PT
13736E  02,FR94,94,FR
13736E  79,FR84,84,FR
13736E  02,FR61,61,FR
96014M  01,CZALL,ALL,CZ
13736E  79,FR46,46,FR
13736E  79,FR66,66,FR
13736E  79,FR19,19,FR
99109B  01,HRALL,ALL,HR
13736E  02,FR89,89,FR
??,ITALL,ALL,IT
13736E  76,FR49,49,FR
13736E  76,FR35,35,FR
13736E  79,FR74,74,FR
13736E  15,FR68,68,FR
13736E  79,FR04,04,FR
13736E  79,FR31,31,FR
13736E  79,FR40,40,FR
13736E  79,FR71,71,FR
13736E  02,FR72,72,FR
13736E  79,FR81,81,FR
A00BVV  01,LUALL,ALL,LU
13736E  22,FR02,02,FR
13736E  79,FR09,09,FR
